business_type,business_age_months,location_type,state,num_employees,store_size_sqm,foot_traffic_daily,has_online_presence,uses_pos,marketing_spend_naira,inventory_value_naira,num_products,average_product_price_naira,month,customer_retention_rate,has_loyalty_program,accepts_credit_cards,opening_hours_per_day,competition_nearby,has_parking,monthly_sales_thousands
Fashion_Store,50,Shopping_Mall,Port_Harcourt,13,85,345,0,1,94214,1856375,55,5389,February,50,0,0,14,0,0,6646.48
Pharmacy,15,Market,Lagos,1,187,445,1,1,21732,3906747,166,27484,February,61,0,1,14,7,0,16912.1
Salon,20,Street_Shop,Abuja,5,111,499,0,1,104517,2334253,449,7125,February,76,0,0,15,4,1,8729.05
Restaurant,87,Street_Shop,Ibadan,11,197,339,0,1,154949,3175847,84,29463,August,76,1,0,12,9,1,24056.26
Salon,58,Market,Abuja,10,112,292,1,0,54772,366342,66,9163,October,89,0,0,15,9,0,4414.47
Restaurant,24,Shopping_Mall,Enugu,5,144,157,1,1,187020,2831725,203,38440,October,36,0,0,10,5,0,16770.15
Restaurant,100,Market,Lagos,17,110,379,0,1,95024,3066618,83,9595,September,53,0,1,11,4,0,11643.86
Pharmacy,85,Estate,Lagos,10,141,245,1,1,160742,3109480,168,21331,January,37,0,1,14,7,1,21562.71
Fashion_Store,109,Shopping_Mall,Enugu,10,196,144,1,1,166580,958623,327,18714,March,44,0,0,14,8,0,14860.97
Fashion_Store,78,Street_Shop,Lagos,11,64,464,0,1,100225,1921334,399,47359,July,76,0,1,8,4,0,15984.44
Pharmacy,91,Shopping_Mall,Ibadan,16,77,137,1,0,184509,4805527,420,5725,May,83,0,1,12,3,1,23457.48
Pharmacy,47,Street_Shop,Kano,12,113,250,0,0,196611,4758363,47,36462,September,83,0,1,11,3,0,14908.65
Pharmacy,118,Market,Abuja,13,187,370,1,1,59557,1341483,349,25602,June,91,1,0,13,5,0,15995.91
Retail_Shop,13,Estate,Lagos,14,130,467,0,1,65219,1087257,225,19768,October,61,1,1,9,0,1,11193.79
Electronics,115,Market,Abuja,9,37,335,0,1,111348,3435929,128,7480,June,65,1,0,15,8,0,13567.03
Electronics,99,Street_Shop,Enugu,2,59,30,1,1,167195,4387448,182,22655,December,53,0,1,8,3,1,32441.03
Fashion_Store,56,Street_Shop,Port_Harcourt,11,196,363,1,1,14715,4564079,83,45825,September,41,0,1,8,4,0,22509.2
Electronics,26,Street_Shop,Abuja,2,106,393,1,1,165036,1470689,150,4843,November,44,0,1,8,6,1,16302.31
Salon,28,Shopping_Mall,Enugu,19,68,426,1,0,185268,4677645,165,858,July,44,1,1,8,0,1,28447.61
Fashion_Store,39,Street_Shop,Ibadan,12,155,494,1,1,187100,3262879,418,9811,July,58,0,1,11,2,0,18889.26
Salon,71,Shopping_Mall,Enugu,9,126,450,1,1,83414,4353032,109,4284,May,66,0,0,14,0,1,18615.45
Supermarket,8,Street_Shop,Ibadan,11,190,460,1,1,152349,4058563,301,15761,November,34,1,0,8,8,0,30155.26
Supermarket,94,Shopping_Mall,Ibadan,15,84,153,0,0,93689,629318,319,32740,October,57,0,0,12,3,0,6692.95
Retail_Shop,110,Street_Shop,Abuja,5,117,246,1,1,88738,213222,489,786,October,62,1,1,12,6,1,8604.34
Fashion_Store,77,Shopping_Mall,Kano,12,87,46,1,1,198181,2281587,240,36974,May,44,0,1,11,0,1,22724.69
Retail_Shop,105,Street_Shop,Ibadan,6,30,136,0,1,13267,193594,405,41072,July,71,0,0,10,2,0,4977.47
Fashion_Store,103,Estate,Ibadan,8,170,406,1,1,149049,2089652,181,30280,August,87,0,1,10,9,1,22831.78
Restaurant,30,Street_Shop,Kano,3,176,282,1,0,84794,4719698,53,7822,July,61,1,1,10,6,1,24877.6
Retail_Shop,45,Shopping_Mall,Ibadan,17,186,190,0,1,163231,464028,125,11542,November,79,0,1,14,0,1,13378.86
Salon,13,Shopping_Mall,Abuja,10,48,283,1,1,33788,4133582,155,24333,November,88,0,1,13,6,0,27014.22
Salon,101,Estate,Lagos,4,11,152,1,1,94156,953434,469,9822,October,81,1,1,8,5,1,15348.18
Fashion_Store,118,Online,Enugu,7,150,469,1,0,77313,4890378,79,37086,May,70,1,1,11,6,0,27433.51
Pharmacy,113,Shopping_Mall,Kano,15,24,206,0,1,118269,4660754,432,19559,October,72,1,0,10,3,0,22195.83
Salon,62,Market,Ibadan,19,30,403,0,0,5550,3161120,69,40753,August,75,1,0,11,4,1,15255.15
Restaurant,57,Street_Shop,Kano,8,144,97,0,0,122573,4380329,396,38393,September,36,0,0,12,8,1,18840.07
Electronics,33,Estate,Ibadan,1,128,244,0,1,134705,3343209,203,31377,August,87,0,1,8,6,0,14969.87
Supermarket,106,Shopping_Mall,Ibadan,18,169,155,0,1,104045,1563846,96,33453,May,32,1,1,14,6,0,11574.83
Fashion_Store,9,Market,Enugu,17,15,133,1,1,30187,192309,35,18863,February,77,0,0,10,6,1,4906.57
Supermarket,69,Shopping_Mall,Lagos,3,72,157,1,1,88359,2293079,239,35086,June,94,1,0,12,3,0,16804.56
Pharmacy,39,Street_Shop,Lagos,16,83,136,0,1,107764,3659957,253,37919,February,30,0,1,14,1,1,18904.14
Restaurant,54,Estate,Enugu,13,144,225,1,0,160543,2196641,119,49983,April,41,1,1,13,9,0,27096.27
Salon,108,Market,Lagos,16,79,365,1,1,19750,4688609,176,34621,January,92,0,1,14,3,0,24520.49
Retail_Shop,57,Shopping_Mall,Port_Harcourt,4,156,255,1,0,98387,1492829,101,38284,October,53,0,0,8,2,0,9115.46
Retail_Shop,44,Shopping_Mall,Enugu,18,146,77,1,1,164782,1304428,54,14448,January,38,0,0,13,1,0,9015.2
Salon,109,Shopping_Mall,Enugu,15,102,265,1,1,149965,3294047,130,39227,March,55,0,1,12,2,0,36630.73
Fashion_Store,51,Market,Lagos,17,80,176,0,0,34843,875833,349,8661,October,68,1,1,12,5,0,6928.73
Salon,105,Market,Port_Harcourt,3,128,186,1,1,195155,298149,78,31652,March,36,0,1,8,7,0,18464.08
Retail_Shop,49,Shopping_Mall,Ibadan,9,46,281,0,0,197204,448019,297,8736,February,37,0,1,14,4,0,5267.11
Retail_Shop,71,Street_Shop,Abuja,7,75,483,1,1,29687,3815977,147,4160,August,81,0,1,9,3,1,20409.08
Retail_Shop,33,Shopping_Mall,Enugu,13,171,381,1,1,174183,3151220,369,43424,October,37,0,1,15,5,1,27666.58
Salon,53,Market,Abuja,18,21,428,0,0,43755,4796620,375,48038,March,49,0,1,8,2,0,24679.93
Electronics,113,Estate,Abuja,10,79,138,1,1,38928,2075238,483,18814,September,47,0,1,9,2,1,13918.83
Salon,117,Estate,Lagos,18,188,370,0,0,85436,4344495,233,48498,August,44,1,1,15,9,1,24093.59
Restaurant,119,Market,Port_Harcourt,14,52,248,1,1,24634,1385726,101,25669,September,32,0,1,10,1,0,10432.27
Restaurant,33,Shopping_Mall,Ibadan,14,67,70,1,0,128721,1254371,153,41165,October,41,1,1,11,9,1,15784.48
Electronics,37,Market,Enugu,10,171,133,1,1,98528,1951304,62,8066,February,87,1,0,13,0,1,14225.12
Electronics,22,Market,Ibadan,9,132,81,0,1,104634,419957,117,49335,July,71,0,1,15,8,0,9288.08
Supermarket,94,Shopping_Mall,Ibadan,18,188,411,0,1,28869,370636,275,37113,October,39,0,1,12,4,0,9996.13
Fashion_Store,89,Street_Shop,Lagos,18,187,225,1,1,41451,2539430,107,45683,September,53,0,1,12,7,0,17690.57
Electronics,56,Shopping_Mall,Ibadan,2,90,394,0,1,190244,3034928,275,15180,November,61,0,1,10,2,0,21337.33
Pharmacy,102,Market,Ibadan,8,177,377,0,1,195665,4290556,216,38662,October,52,0,1,14,5,0,22837.39
Restaurant,79,Street_Shop,Kano,5,124,451,0,0,172538,2614493,246,16661,January,38,0,1,14,9,1,12571.83
Supermarket,30,Market,Kano,12,85,349,0,1,171952,3518432,35,19495,August,91,0,0,11,8,1,13192.97
Pharmacy,6,Estate,Lagos,4,76,175,1,1,76004,370014,457,26110,March,86,1,1,9,3,0,13113.34
Restaurant,69,Street_Shop,Lagos,2,28,381,0,0,108393,3231175,482,24571,December,50,0,1,14,5,1,24578.93
Pharmacy,107,Street_Shop,Port_Harcourt,5,186,348,0,0,36548,600698,112,30956,April,91,0,0,10,8,1,9737.36
Fashion_Store,90,Shopping_Mall,Port_Harcourt,10,100,489,0,0,191460,2640899,150,40687,March,68,0,0,13,9,1,19983.76
Pharmacy,60,Shopping_Mall,Abuja,19,145,232,0,0,116931,1382393,206,19056,December,32,0,0,11,7,0,12463.52
Salon,71,Shopping_Mall,Port_Harcourt,1,124,401,1,0,130324,3650913,81,48140,November,94,0,1,15,6,1,37028.56
Supermarket,37,Shopping_Mall,Lagos,4,21,85,0,0,51603,707111,424,29374,May,87,1,1,10,4,0,10304.14
Pharmacy,56,Shopping_Mall,Ibadan,16,75,170,1,1,108522,966562,343,15568,August,83,0,1,8,7,0,12071.04
Electronics,116,Market,Enugu,1,153,242,1,1,77867,1608293,329,27192,March,83,0,0,8,5,0,14445.42
Salon,62,Market,Lagos,4,141,121,0,0,92436,574564,421,41217,October,87,0,0,11,5,1,8811.72
Salon,30,Street_Shop,Kano,12,11,428,0,0,12529,3556588,410,32537,April,40,1,0,9,7,1,21979.75
Restaurant,39,Estate,Enugu,14,197,283,0,0,103398,982693,103,32423,April,45,0,0,15,4,1,12508.63
Fashion_Store,32,Market,Ibadan,14,108,64,1,0,108421,2698869,66,38947,March,47,1,0,11,0,0,22719.7
Pharmacy,14,Market,Lagos,15,185,77,0,0,71203,1495825,224,685,June,68,0,0,12,2,0,5195.02
Supermarket,98,Market,Lagos,17,119,416,1,0,119008,4860473,253,24737,November,91,0,1,10,2,0,43894.85
Supermarket,70,Street_Shop,Port_Harcourt,15,121,162,1,1,108192,2164774,496,39666,September,36,1,1,12,2,0,21722.26
Salon,27,Market,Kano,18,79,405,0,1,107786,1553749,327,41467,September,81,0,1,15,4,1,13424.57
Supermarket,16,Street_Shop,Ibadan,17,26,334,0,1,156679,3311535,459,4246,October,53,0,0,13,4,0,10813.4
Pharmacy,104,Market,Ibadan,10,196,446,0,1,78150,4920156,49,46700,September,94,0,0,9,6,1,16418.27
Fashion_Store,19,Market,Port_Harcourt,3,71,237,1,1,150379,692754,323,27873,May,89,1,0,12,7,1,11299.89
Electronics,98,Estate,Kano,17,149,119,0,1,90170,3378108,114,19031,May,85,0,1,8,5,0,13189.69
Pharmacy,34,Market,Ibadan,14,182,33,0,0,135335,4796997,454,13403,April,68,0,0,10,9,0,19266.53
Electronics,90,Market,Ibadan,19,81,272,0,0,183476,3303431,203,25985,April,46,0,1,10,6,1,23338.79
Supermarket,103,Street_Shop,Ibadan,18,125,127,0,1,38261,2239872,275,7621,September,54,0,1,11,3,0,13448.77
Pharmacy,52,Estate,Ibadan,17,115,214,1,1,171287,2275084,200,48193,April,63,0,0,10,7,0,27563.51
Restaurant,36,Street_Shop,Ibadan,10,195,127,1,1,106228,439883,467,17661,May,91,1,1,10,7,0,9324.57
Restaurant,14,Market,Kano,14,144,303,0,1,177893,1925575,181,26428,August,94,0,1,13,0,0,11766.91
Electronics,107,Market,Port_Harcourt,13,105,223,1,0,172223,2093414,90,44134,January,81,0,0,13,6,0,10083.36
Electronics,64,Online,Lagos,3,81,420,1,0,99842,266239,390,13062,October,43,0,0,10,1,0,6339.55
Retail_Shop,109,Street_Shop,Lagos,18,151,432,0,1,162253,2824066,269,23596,July,56,1,0,14,7,1,20669.34
Pharmacy,117,Market,Lagos,10,32,299,1,1,32711,3833374,415,7393,September,77,0,1,10,2,0,18943.75
Supermarket,17,Shopping_Mall,Abuja,11,32,235,0,1,115748,3083882,55,25379,September,77,1,1,10,2,0,21368.16
Restaurant,79,Street_Shop,Kano,11,97,405,0,0,15839,4858151,463,20184,December,83,0,0,10,1,0,19989.0
Fashion_Store,73,Market,Abuja,11,127,402,0,0,36448,130830,234,1871,February,80,0,1,11,8,1,3081.15
Electronics,113,Shopping_Mall,Lagos,3,14,395,1,1,140306,3079639,42,1132,September,69,0,1,8,5,1,21936.66
Restaurant,80,Estate,Lagos,2,38,139,1,0,131150,3619428,365,23207,February,36,0,0,8,9,1,14175.02
Pharmacy,51,Market,Port_Harcourt,6,107,92,1,1,132600,2392384,99,15993,November,46,0,1,12,3,0,19753.83
Salon,114,Shopping_Mall,Abuja,11,188,47,1,1,30504,2751419,193,37308,April,74,0,1,10,2,0,26783.4
Supermarket,74,Market,Enugu,2,106,341,1,1,121318,871113,86,32552,October,32,0,1,15,3,0,10614.22
Retail_Shop,39,Estate,Ibadan,11,161,288,0,0,175401,2412993,317,7993,June,36,0,1,15,3,0,10615.88
Salon,73,Market,Ibadan,16,143,357,1,1,47727,3503800,272,29430,July,82,0,1,9,4,0,21070.84
Salon,70,Shopping_Mall,Lagos,13,104,474,0,1,141508,364461,112,9848,August,88,0,0,10,3,0,4814.32
Pharmacy,47,Market,Enugu,11,148,306,0,1,100541,3372194,91,25456,December,30,0,0,11,7,1,21281.92
Electronics,13,Street_Shop,Port_Harcourt,19,191,223,0,0,39364,3515992,58,2698,September,91,0,0,11,4,1,9982.41
Supermarket,45,Shopping_Mall,Lagos,2,184,79,1,1,186521,1636950,430,41481,January,89,1,1,11,1,1,27146.51
Electronics,32,Online,Port_Harcourt,18,199,380,0,1,83293,1503798,90,20355,September,75,1,0,14,0,0,11322.1
Restaurant,19,Street_Shop,Port_Harcourt,5,92,109,0,1,152547,2863824,193,26269,November,47,0,0,8,3,0,15227.64
Salon,12,Shopping_Mall,Ibadan,16,51,47,1,1,82444,2322677,379,15899,August,68,0,1,8,8,1,13353.2
Fashion_Store,115,Estate,Enugu,6,126,42,0,0,11468,943697,161,25941,August,37,1,0,11,2,1,6794.66
Pharmacy,116,Shopping_Mall,Abuja,14,128,65,0,1,126644,2007118,297,38740,June,90,1,1,15,9,0,22496.3
Restaurant,67,Market,Kano,13,199,372,1,0,51963,4080869,29,24474,February,78,0,1,11,6,0,18635.72
Fashion_Store,48,Street_Shop,Lagos,8,102,356,0,1,49403,3260278,349,23065,June,68,0,1,10,3,0,13968.6
Supermarket,108,Market,Abuja,19,135,187,0,0,102785,2631687,391,10345,April,88,0,1,10,4,1,20500.03
Supermarket,51,Street_Shop,Port_Harcourt,4,165,269,1,1,71420,2549931,391,29580,March,61,1,1,9,0,0,27234.92
Salon,37,Street_Shop,Port_Harcourt,7,170,186,0,1,168964,3286126,73,8207,November,45,0,1,10,0,1,24426.49
Supermarket,55,Online,Abuja,12,174,268,0,1,66574,722354,222,30820,January,48,0,0,14,4,1,8079.56
Retail_Shop,13,Street_Shop,Ibadan,8,45,243,1,0,56633,4614672,279,39526,June,61,0,0,14,7,0,12601.83
Restaurant,95,Shopping_Mall,Ibadan,9,48,440,0,0,59164,1309714,341,728,March,93,0,0,10,8,0,6836.09
Restaurant,86,Market,Lagos,10,13,99,1,1,194691,2644679,179,21158,May,42,1,0,12,2,1,22784.1
Restaurant,89,Shopping_Mall,Abuja,12,21,159,1,0,130703,4142495,122,10903,November,40,0,1,12,7,1,34757.9
Supermarket,110,Online,Lagos,11,195,428,1,1,144959,3562338,47,17819,May,91,0,0,14,4,0,18164.37
Supermarket,23,Estate,Abuja,9,131,174,0,1,162819,4671474,152,38687,August,53,0,1,14,8,0,17215.32
Pharmacy,83,Estate,Lagos,1,42,264,0,0,10767,300170,250,23221,March,51,0,0,11,6,1,5859.87
Restaurant,111,Market,Abuja,19,181,77,1,1,50054,240164,284,12100,October,36,0,0,11,3,1,8149.7
Salon,97,Street_Shop,Enugu,11,33,88,1,1,104894,909085,199,26005,December,57,0,0,8,3,1,12208.96
Restaurant,110,Market,Enugu,3,130,451,1,0,129196,1160311,89,22617,February,47,0,0,10,7,0,7633.41
Retail_Shop,103,Street_Shop,Ibadan,2,46,323,0,0,71779,4449855,171,34461,January,70,0,1,9,0,0,11423.14
Retail_Shop,41,Shopping_Mall,Enugu,16,171,285,1,0,177475,816185,91,686,December,62,0,0,11,9,1,12947.21
Supermarket,82,Market,Enugu,5,45,194,1,1,6688,114312,27,1142,April,82,1,1,15,1,1,10381.7
Retail_Shop,51,Shopping_Mall,Lagos,7,131,487,0,0,77025,4986136,211,4345,November,42,1,0,10,8,1,23655.3
Fashion_Store,118,Market,Kano,6,159,358,1,0,142641,4474794,184,6533,February,85,1,1,9,8,1,23843.45
Restaurant,61,Shopping_Mall,Ibadan,16,114,118,1,1,160453,1847673,56,9312,February,41,0,0,9,2,0,11677.32
Electronics,76,Shopping_Mall,Abuja,10,177,466,1,1,134660,2572484,90,39697,October,71,0,0,11,0,1,21912.0
Salon,35,Street_Shop,Port_Harcourt,8,153,357,1,1,40864,1725613,171,22052,July,90,0,0,15,2,0,8391.97
Supermarket,75,Market,Kano,18,80,378,0,1,144776,625323,225,14411,April,87,0,1,8,6,0,15278.86
Retail_Shop,86,Street_Shop,Lagos,19,174,115,0,0,123945,1069297,481,7978,April,54,0,0,9,5,1,9434.84
Fashion_Store,118,Market,Port_Harcourt,6,62,393,1,1,82066,181023,242,6291,May,66,0,0,11,8,0,4633.25
Supermarket,52,Market,Ibadan,10,108,438,0,1,179161,1657028,64,49370,December,89,1,0,12,4,0,24502.93
Electronics,87,Online,Enugu,14,169,241,1,0,73239,2405617,144,12842,November,58,0,0,8,9,0,14331.86
Pharmacy,76,Market,Ibadan,6,159,428,1,1,63289,3737901,178,16623,April,37,0,1,12,2,1,30426.23
Electronics,75,Shopping_Mall,Kano,18,44,406,1,1,48939,2776701,20,37800,December,93,1,1,15,3,0,32287.04
Retail_Shop,74,Street_Shop,Port_Harcourt,10,91,392,1,1,139063,576230,35,13779,July,50,0,1,11,3,0,9755.35
Salon,79,Market,Kano,19,107,48,0,1,157988,513310,31,10763,August,90,0,0,11,5,1,8223.51
Restaurant,76,Shopping_Mall,Abuja,11,55,228,0,0,53698,1540656,78,43346,March,51,0,0,14,2,1,12333.28
Supermarket,55,Street_Shop,Lagos,2,87,360,1,1,62511,736664,175,37909,August,60,0,1,14,8,0,11516.53
Fashion_Store,36,Estate,Port_Harcourt,13,103,419,0,1,46070,2123185,470,13198,February,71,1,1,13,6,0,8766.93
Salon,116,Shopping_Mall,Enugu,14,96,294,1,0,57118,2784575,33,49032,December,38,0,1,12,0,1,25847.96
Electronics,38,Estate,Kano,4,120,100,1,1,178749,3148971,41,17977,March,57,0,1,9,1,0,27758.85
Fashion_Store,114,Shopping_Mall,Ibadan,14,17,90,0,0,89989,4492168,115,4769,January,58,1,1,12,8,1,18374.34
Electronics,69,Shopping_Mall,Ibadan,3,46,355,0,1,26936,4286931,415,47498,September,31,0,0,12,0,0,15429.85
Pharmacy,61,Street_Shop,Ibadan,14,119,387,0,1,56345,107084,95,31916,June,88,0,0,10,8,1,6657.13
Restaurant,41,Estate,Enugu,7,71,248,1,1,14332,4849067,130,1814,December,60,0,1,12,2,0,23581.42
Electronics,9,Shopping_Mall,Port_Harcourt,6,55,83,0,1,45809,1599318,285,35257,July,66,0,0,9,1,1,9871.47
Pharmacy,86,Shopping_Mall,Kano,6,65,408,1,0,109780,154279,159,25650,January,91,0,0,13,4,0,6068.39
Fashion_Store,114,Estate,Abuja,19,151,254,1,1,39804,2137915,372,14989,April,43,0,1,12,8,1,21266.15
Pharmacy,18,Market,Ibadan,3,81,451,0,1,111740,4986741,178,6520,February,76,0,0,9,9,0,12305.34
Supermarket,56,Street_Shop,Abuja,9,27,432,1,1,25681,3465932,191,13656,September,89,1,1,15,4,0,22062.96
Pharmacy,11,Estate,Abuja,2,15,39,1,1,67296,984282,142,29148,September,76,0,0,12,2,1,8895.49
Fashion_Store,116,Street_Shop,Port_Harcourt,2,195,86,1,1,162252,4787640,496,31629,February,92,0,1,12,6,1,26415.84
Restaurant,97,Estate,Kano,14,108,456,0,0,142812,1707686,343,34159,November,50,1,0,13,8,0,14815.82
Fashion_Store,9,Market,Abuja,9,51,119,1,0,54374,205326,209,18287,August,54,0,1,14,3,0,3921.76
Retail_Shop,21,Market,Kano,18,126,331,1,0,125473,4870263,478,46342,May,73,1,0,13,6,0,16622.22
Supermarket,63,Street_Shop,Ibadan,15,96,405,0,1,116937,520407,237,46333,September,50,0,0,10,5,0,6458.23
Retail_Shop,54,Shopping_Mall,Lagos,4,189,227,1,1,159086,1435243,300,46091,February,38,0,0,10,8,1,12893.7
Fashion_Store,94,Market,Enugu,19,162,208,1,0,87682,1631490,182,7588,March,86,0,1,12,3,1,15442.05
Supermarket,70,Street_Shop,Lagos,18,38,104,0,1,135926,1231101,23,35240,October,48,0,1,14,3,0,10283.51
Retail_Shop,69,Market,Kano,12,153,358,1,1,111579,3805958,355,7390,November,80,0,1,10,5,1,36875.04
Restaurant,89,Estate,Port_Harcourt,6,68,52,1,1,38634,2668830,376,14381,July,62,0,0,10,0,0,13195.49
Restaurant,27,Market,Lagos,6,59,234,1,1,125071,1442319,299,14128,April,59,1,0,8,7,0,16613.51
Salon,10,Estate,Abuja,15,47,325,0,1,119283,3373008,213,41142,January,76,0,0,10,4,1,11433.3
Electronics,36,Market,Ibadan,18,15,55,0,1,20037,1867166,26,45482,October,43,0,0,10,0,0,8967.91
Salon,60,Online,Ibadan,10,164,37,0,1,190453,1058647,297,22471,April,71,0,1,11,8,1,15117.77
Restaurant,31,Shopping_Mall,Ibadan,10,130,229,0,0,109980,2062442,84,44200,July,81,1,1,13,1,0,14879.57
Restaurant,27,Market,Kano,14,192,258,1,1,102931,2845280,314,48651,November,38,1,0,11,6,1,32271.5
Pharmacy,65,Estate,Enugu,9,55,371,0,1,147182,3011616,283,10533,August,58,0,1,14,0,1,18382.39
Electronics,27,Street_Shop,Enugu,8,162,399,1,1,136247,4596838,190,44310,April,30,1,0,9,6,0,28455.34
Pharmacy,25,Estate,Kano,15,82,300,1,0,162004,3115654,293,11482,December,65,0,1,14,3,1,29849.57
Restaurant,15,Street_Shop,Kano,6,66,126,1,1,71721,2716183,464,9711,December,83,0,1,10,2,1,19310.23
Fashion_Store,45,Market,Abuja,14,13,248,1,1,145817,2049504,423,910,April,74,1,1,13,0,1,24898.8
Supermarket,55,Shopping_Mall,Lagos,7,21,66,1,1,95521,1452817,111,15328,February,86,0,0,15,4,1,11072.96
Fashion_Store,32,Market,Kano,3,100,498,0,0,186922,1168301,414,15958,November,64,0,1,13,2,1,13007.02
Salon,91,Market,Kano,15,138,133,1,0,9428,4837463,21,35796,June,57,1,1,14,4,0,24131.62
Salon,10,Shopping_Mall,Lagos,7,191,448,0,1,17949,261612,399,37783,October,56,0,0,12,4,0,5445.14
Salon,98,Shopping_Mall,Port_Harcourt,16,83,266,1,1,192990,1609117,256,3210,September,40,1,1,12,9,1,18911.95
Retail_Shop,49,Market,Lagos,9,65,276,0,0,50023,1595598,372,10212,January,32,0,1,11,8,1,7390.5
Pharmacy,14,Estate,Abuja,19,35,172,1,0,15424,1533646,256,29572,March,36,0,1,11,5,0,12321.44
Salon,119,Market,Lagos,4,148,94,1,1,19206,524462,441,40492,January,40,0,0,15,3,0,7583.18
Restaurant,53,Market,Kano,16,45,426,1,1,33089,4276931,482,42145,April,36,1,1,9,0,0,34078.59
Restaurant,42,Street_Shop,Enugu,13,163,210,0,0,131539,555826,182,37497,November,90,1,0,14,3,0,11153.63
Electronics,106,Street_Shop,Lagos,16,101,138,0,1,112274,2199312,296,49498,January,80,0,0,14,4,1,14929.28
Fashion_Store,37,Street_Shop,Abuja,15,81,260,0,0,41960,3912937,168,16436,March,36,0,1,8,3,1,21730.68
Fashion_Store,119,Market,Port_Harcourt,17,133,258,1,1,97572,2753206,392,49388,February,73,1,1,9,9,0,25500.26
Supermarket,88,Street_Shop,Lagos,18,183,459,0,1,67551,4833336,391,24081,March,79,0,0,12,4,0,29260.63
Restaurant,56,Street_Shop,Ibadan,11,27,48,1,1,122029,2452221,476,8586,March,55,1,1,10,6,0,28679.9
Restaurant,45,Shopping_Mall,Ibadan,5,169,110,1,1,21247,3804749,169,7384,June,48,1,0,12,2,1,21821.03
Restaurant,22,Market,Lagos,12,97,249,1,0,121279,3577601,481,46192,December,50,1,0,14,7,1,31584.05
Restaurant,17,Shopping_Mall,Port_Harcourt,1,169,427,0,1,30392,3355113,446,42142,February,87,0,1,15,4,0,11113.2
Restaurant,36,Shopping_Mall,Abuja,17,192,488,1,1,21318,3887008,129,26055,September,41,1,1,15,1,1,30888.11
Electronics,53,Street_Shop,Enugu,7,34,78,0,0,133218,299000,266,19423,June,62,0,1,8,0,0,6530.26
Fashion_Store,104,Street_Shop,Kano,4,32,245,1,1,198396,3306128,171,7847,January,94,1,0,15,8,1,21129.83
Supermarket,117,Market,Port_Harcourt,9,146,109,0,1,125621,3578332,278,28995,July,75,1,1,15,1,0,25560.02
Salon,65,Market,Port_Harcourt,14,144,230,0,0,32886,1458299,202,2744,July,57,0,0,14,3,1,6531.13
Electronics,38,Market,Abuja,14,176,212,0,0,112918,4358034,262,17724,June,89,0,1,12,5,0,17950.78
Electronics,93,Market,Kano,2,143,225,1,0,107156,4682612,272,45907,July,61,0,0,14,7,1,23468.62
Electronics,25,Shopping_Mall,Port_Harcourt,18,99,332,1,1,36552,2452471,160,45387,April,39,0,0,15,9,1,22900.29
Fashion_Store,6,Street_Shop,Abuja,3,65,134,0,1,140694,4628940,316,17097,June,87,0,1,12,2,1,15405.56
Supermarket,67,Shopping_Mall,Ibadan,8,156,53,1,1,21270,791921,459,38480,April,38,0,0,11,5,0,14870.89
Retail_Shop,111,Online,Kano,3,49,184,1,0,101253,510851,27,42063,April,49,0,1,15,9,0,11484.88
Retail_Shop,94,Online,Lagos,15,122,395,0,1,10833,3641523,286,38430,February,47,0,1,13,5,1,17001.73
Supermarket,110,Shopping_Mall,Kano,10,180,353,0,0,186901,814833,418,20126,October,35,0,0,12,1,1,8574.46
Pharmacy,23,Market,Enugu,10,71,454,0,0,54352,2624837,143,49757,September,54,0,0,13,4,0,11681.93
Electronics,71,Shopping_Mall,Enugu,12,41,235,1,0,194868,2106100,179,12558,March,79,0,1,15,7,0,18937.82
Fashion_Store,26,Street_Shop,Ibadan,15,168,471,0,1,22202,4176676,193,28237,March,52,0,0,13,6,1,20409.72
Salon,94,Street_Shop,Lagos,8,38,204,0,0,6789,3402740,69,7485,December,87,0,1,13,9,0,15978.13
Retail_Shop,43,Market,Abuja,17,93,387,0,1,75603,2299610,377,38592,May,92,0,0,11,4,0,10729.61
Retail_Shop,111,Shopping_Mall,Lagos,4,186,153,1,0,193388,1186774,57,41783,June,63,1,0,14,1,0,15534.78
Electronics,37,Shopping_Mall,Enugu,2,12,304,1,1,110060,780930,450,46052,September,79,0,1,8,6,1,16457.47
Supermarket,28,Shopping_Mall,Lagos,13,44,105,1,1,149394,3662266,71,19844,December,82,0,1,8,6,1,35439.37
Restaurant,111,Street_Shop,Enugu,16,100,371,1,1,27483,4556269,32,696,April,69,0,0,11,5,0,19366.94
Fashion_Store,99,Market,Ibadan,10,126,243,0,0,98002,4597251,280,20106,October,33,0,0,15,4,0,13329.89
Supermarket,29,Market,Ibadan,4,50,329,1,0,65031,1954346,154,4938,November,78,0,1,15,2,0,13798.76
Supermarket,7,Market,Kano,15,46,244,1,0,195369,4355475,161,49113,December,89,0,0,15,7,0,26450.34
Salon,83,Street_Shop,Enugu,17,87,153,0,1,14447,173615,164,13440,August,36,1,0,15,2,0,3414.02
Salon,18,Street_Shop,Abuja,3,139,390,0,0,97448,3974425,228,42629,December,63,1,1,14,4,0,21148.11
Salon,66,Online,Lagos,11,114,166,0,0,71609,2680146,46,23631,January,61,0,1,13,9,0,10577.84
Supermarket,55,Market,Lagos,11,116,332,1,1,126144,4626407,445,35595,September,62,0,1,11,4,1,34126.6
